ID,X,Y,Z,R,G,B,PART
236D8056C52ADE2B,-0.80,-8.10,30.60,0.12,0.25,0.53,BODY
571BC3BE8C86AF38,2.11,-8.19,30.00,0.17,0.21,0.58,BODY
B17D9577FD46BA2A,4.06,-8.48,30.20,0.09,0.27,0.55,BODY
4151562DE824A395,6.62,-8.34,30.40,0.16,0.16,0.45,BODY
1BC6F41F3EC91A23,-5.54,-8.28,30.60,0.43,0.08,0.33,BODY
5EE408BE6BEDDAE5,-3.01,-8.48,30.00,0.13,0.09,0.35,BODY
C585CF5848683725,-0.97,-8.29,30.20,0.14,0.30,0.58,BODY
1838AC42C731347F,1.40,-7.99,30.40,0.15,0.20,0.51,BODY
0DF07EA20FE25126,3.75,-8.33,30.60,0.09,0.25,0.52,BODY
90770651236931A8,5.96,-8.02,30.00,0.08,0.10,0.32,BODY
BA0BFEDAEBEDA842,-6.32,-8.29,30.20,0.45,0.13,0.35,BODY
B63F2F1A44E19710,-3.86,-8.10,30.40,0.48,0.10,0.36,BODY
3CFED6AFA13D9601,-1.10,-8.33,30.60,0.14,0.20,0.52,BODY
6E59550F4290F34F,0.92,-8.31,30.00,0.14,0.17,0.46,BODY
4306EFEA28141932,3.38,-8.25,30.20,0.15,0.20,0.51,BODY
315CEFC26F771758,5.41,-8.21,30.40,0.14,0.17,0.45,BODY
61D92EBF9AAB90EE,-6.46,-8.26,30.60,0.42,0.11,0.32,BODY
173CD8C41C2CDC11,-4.21,-8.06,30.00,0.35,0.05,0.26,BODY
D1E353B82B143D36,-2.17,-8.24,30.20,0.17,0.25,0.57,BODY
AA73DF402A533009,0.44,-8.28,30.40,0.14,0.26,0.55,BODY
43CE4BC2C6EA80A9,2.45,-8.10,30.60,0.13,0.18,0.46,BODY
15C1A1974B16E926,4.92,-8.25,30.00,0.15,0.33,0.61,BODY
7DF901A37DD1461C,7.02,-8.33,30.20,0.19,0.29,0.61,BODY
2332CF7B0F7E7AF0,-4.78,-7.85,30.40,0.44,0.09,0.35,BODY
A02F7AF9F121D48D,-2.60,-8.18,30.60,0.16,0.20,0.55,BODY
C9564133CA7BB9EA,-0.16,-7.81,30.00,0.12,0.26,0.54,BODY
E74327BE40339863,2.23,-8.10,30.20,0.18,0.21,0.56,BODY
840F073EE973158C,4.24,-7.84,30.40,0.09,0.26,0.54,BODY
D9A9039FE148DBB0,6.80,-7.79,30.60,0.14,0.17,0.46,BODY
8586452B8C110142,-5.53,-7.85,30.00,0.49,0.12,0.40,BODY
DDDDBB1CDFE452DC,-3.30,-8.07,30.20,0.51,0.12,0.38,BODY
D1F4296A086B07E9,-0.69,-8.24,30.40,0.12,0.20,0.52,BODY
C0CFA957645C9F1E,1.36,-8.26,30.60,0.13,0.17,0.47,BODY
47FAB0443B86DF50,3.87,-7.77,30.00,0.11,0.24,0.52,BODY
F5E98F4672F4A83B,5.92,-8.09,30.20,0.08,0.11,0.34,BODY
0306118E721F7D18,-6.39,-8.02,30.40,0.43,0.10,0.34,BODY
6992C3A589D598AF,-3.72,-8.20,30.60,0.38,0.09,0.30,BODY
20D0C81F48529C1C,-1.77,-8.14,30.00,0.15,0.20,0.51,BODY
42D36EE35D3E082D,0.63,-8.07,30.20,0.15,0.18,0.47,BODY
