ID,X,Y,Z,R,G,B,PART
3D45A4194E0B1319,0.10,-4.80,30.00,0.14,0.18,0.47,BODY
3CBE29195E6D462D,1.47,-5.02,30.15,0.14,0.20,0.50,BODY
9B8216FD24B5FB91,3.17,-4.98,29.85,0.13,0.23,0.55,BODY
19D5A0FB86305653,-4.19,-5.16,30.00,0.42,0.11,0.33,BODY
E146157DF75C2ACF,-2.41,-4.75,30.15,0.47,0.12,0.35,BODY
C02C0AECACCEAF67,-1.32,-5.12,30.00,0.20,0.29,0.62,BODY
67B1C3B08E273E27,0.10,-5.02,30.15,0.12,0.20,0.49,BODY
F1E60C6AC009B418,1.75,-4.89,29.85,0.13,0.19,0.49,BODY
B519E527F20CCAAA,2.88,-4.84,30.00,0.15,0.22,0.54,BODY
1B6BD5D6B4126B52,4.19,-4.94,29.85,0.38,0.42,0.61,BODY
71345A92241447D5,-2.89,-4.72,30.00,0.36,0.05,0.26,BODY
A2C98BEFF264141C,-1.61,-5.03,30.15,0.16,0.24,0.59,BODY
9EFAE14FA29EF1FD,-0.04,-5.08,29.85,0.15,0.28,0.56,BODY
1AF16FC0566E67EA,1.42,-4.82,30.00,0.15,0.21,0.53,BODY
EBD1BB89E298409B,2.80,-4.68,29.85,0.11,0.26,0.56,BODY
83A57D767A7A7DE4,4.29,-4.77,30.00,0.17,0.23,0.59,BODY
066A5743332B30CE,-3.32,-4.71,30.15,0.44,0.10,0.35,BODY
16F1183631631CF0,-1.53,-5.00,29.85,0.16,0.15,0.47,BODY
F400140C915F22A0,-0.18,-4.66,30.15,0.10,0.23,0.51,BODY
6BF2B17C0E4203C3,1.14,-4.81,29.85,0.18,0.23,0.59,BODY
0FBD2DC28E28E47C,2.51,-4.66,30.00,0.18,0.34,0.62,BODY
2DB575C260BE62F3,3.69,-4.85,30.15,0.13,0.17,0.42,BODY
1CA057E36B1BC3AC,-3.53,-4.64,29.85,0.45,0.11,0.36,BODY
FC4187216ABEAC0D,-2.34,-4.94,30.15,0.53,0.14,0.40,BODY
218CC208B70F9DE3,-0.95,-4.80,29.85,0.14,0.20,0.51,BODY
9C725F422A10BBA7,0.86,-5.06,30.00,0.15,0.18,0.47,BODY
B4FA8007867BC23E,1.83,-4.82,30.15,0.15,0.22,0.52,BODY
8ACD361214F9F6B8,3.59,-4.84,29.85,0.07,0.10,0.30,BODY
8EE57B0E09C7957C,-3.87,-5.01,30.15,0.42,0.10,0.33,BODY
1F2A7E450D55D195,-2.56,-4.99,29.85,0.36,0.07,0.28,BODY
F51E105D82CA6BAF,-1.00,-5.02,30.00,0.14,0.20,0.50,BODY
6C45B85FE80EF311,0.15,-4.61,30.15,0.13,0.20,0.49,BODY
8FC44802D5C0B6AC,1.44,-4.99,30.00,0.15,0.19,0.47,BODY
DA7EF52FAD2BB207,3.15,-4.61,30.15,0.11,0.24,0.54,BODY
EDCD2C4974DF21DC,4.44,-4.70,29.85,0.22,0.30,0.67,BODY
FF0C7103D5C4A8BC,-2.85,-4.81,30.00,0.50,0.13,0.38,BODY
E0A4E0AD5A9C2970,-1.71,-4.65,30.15,0.15,0.22,0.56,BODY
2CDAA1AA167B7695,-0.24,-4.74,30.00,0.11,0.29,0.55,BODY
03D8DAE577A3A0A2,1.08,-4.90,30.15,0.15,0.19,0.49,BODY
0E62E891904A90F8,2.68,-4.75,29.85,0.12,0.28,0.56,BODY
BE87343576BFC114,3.87,-4.56,30.00,0.17,0.22,0.54,BODY
E095FC1710A75299,-3.17,-4.88,29.85,0.53,0.13,0.41,BODY
66F8461EABA183A7,-1.71,-4.58,30.00,0.49,0.15,0.43,BODY
