ID,X,Y,Z,R,G,B,PART
D5EE9867477F9EE6,-0.12,-10.03,30.60,0.70,0.66,0.64,BODY
24DC48265EAC6A64,2.15,-10.21,30.00,0.70,0.67,0.67,BODY
1B39FE75266A96E8,-4.13,-10.39,30.20,0.60,0.60,0.60,BODY
D8129F0DB247547B,-2.99,-9.98,30.40,0.57,0.58,0.57,BODY
1453E53DC09C49CF,-1.86,-9.86,30.60,0.70,0.67,0.67,BODY
298EF6F3AF7AD431,-0.78,-10.31,30.00,0.71,0.68,0.68,BODY
6263B888DAB63995,1.28,-9.96,30.20,0.52,0.43,0.55,BODY
C07527F2427414F8,2.37,-10.16,30.40,0.76,0.73,0.73,BODY
9D31A0D3951D933C,-4.01,-9.75,30.60,0.52,0.51,0.52,BODY
1D91D95F8FE5A90E,-2.81,-9.78,30.00,0.61,0.62,0.61,BODY
4C1E51543A19702D,-1.27,-10.32,30.20,0.71,0.68,0.68,BODY
2D4C77EDC5D60F54,-0.27,-10.10,30.40,0.71,0.68,0.68,BODY
329E8F8AF56581E3,1.12,-9.99,30.60,0.58,0.56,0.55,BODY
3BE734C5A789E72D,2.23,-9.92,30.00,0.77,0.74,0.74,BODY
5E6A38025E12636B,-3.51,-10.03,30.20,0.53,0.53,0.53,BODY
C9D5CB6DE7C8620A,-2.07,-9.84,30.40,0.65,0.65,0.65,BODY
F51CE6DA02CA00BB,-1.35,-9.79,30.60,0.71,0.70,0.70,BODY
C384614973A0912C,-0.09,-10.29,30.00,0.71,0.68,0.68,BODY
BC05FE0920E7B51C,1.63,-10.26,30.20,0.64,0.61,0.60,BODY
2F424F29231F8489,2.65,-10.00,30.40,0.81,0.78,0.78,BODY
3A638D32B984B3FA,-3.26,-9.79,30.60,0.56,0.55,0.56,BODY
8EA489B6427F9260,-2.27,-9.92,30.00,0.69,0.66,0.67,BODY
D165F86FE07BD827,-0.93,-9.80,30.20,0.71,0.71,0.71,BODY
FED52571295F8DBB,-0.07,-10.03,30.40,0.72,0.67,0.67,BODY
076A2E0A9AF6DB93,1.35,-10.23,30.60,0.67,0.64,0.62,BODY
8AAA8E1A7EB85FB6,2.70,-10.01,30.00,0.81,0.78,0.78,BODY
4AF1FAC7A2B629DD,-3.32,-9.98,30.20,0.56,0.55,0.56,BODY
CF4CCE819FE7476C,-2.18,-10.13,30.40,0.70,0.67,0.69,BODY
00745CFFA11AAFB5,-1.09,-9.73,30.60,0.71,0.71,0.71,BODY
5E075838BB29C29F,-0.12,-9.65,30.00,0.73,0.69,0.69,BODY
329F030C41B74806,1.42,-9.89,30.20,0.67,0.64,0.62,BODY
C31E6F4CC1448C1F,2.95,-9.71,30.40,0.81,0.78,0.78,BODY
5285A08090C38ADC,-3.27,-9.91,30.60,0.57,0.56,0.57,BODY
